,,Ages 16+,,,,,,,,Ages 16-29,,,,,,,,Ages 30-49,,,,,,,,Ages 50+,,,,,,,
MSA,FIPS,16+_2019_metro_rank,16+_2019_metro_perc,16+_2000_metro_perc,16+_2019_dollars_women,16+_2019_dollars_men,16+_2000_dollars_women,16+_2000_dollars_men,16+_map_change,16_29_2019_metro_rank,16_29_2019_metro_perc,16_29_2000_metro_perc,16_29_2019_dollars_women,16_29_2019_dollars_men,16_29_2000_dollars_women,16_29_2000_dollars_men,16_29_map_change,30_49_2019_metro_rank,30_49_2019_metro_perc,30_49_2000_metro_perc,30_49_2019_dollars_women,30_49_2019_dollars_men,30_49_2000_dollars_women,30_49_2000_dollars_men,30_49_map_change,50+_2019_metro_rank,50+_2019_metro_perc,50+_2000_metro_perc,50+_2019_dollars_women,50+_2019_dollars_men,50+_2000_dollars_women,50+_2000_dollars_men,50+_map_change
"Olympia-Tumwater, WA",36500,69,84%,75%,"$48,560","$58,033","$46,177","$61,570",-0.09,163,87%,84%,"$30,215","$34,616","$33,863","$40,482",-0.04,145,80%,77%,"$49,639","$62,105","$49,256","$64,033",-0.03,19,84%,71%,"$61,087","$72,723","$49,256","$69,574",-0.13
"Omaha-Council Bluffs, NE-IA",36540,110,82%,74%,"$43,164","$52,876","$40,020","$53,874",-0.07,103,91%,88%,"$33,374","$36,503","$33,863","$38,481",-0.03,51,86%,76%,"$47,941","$55,996","$43,099","$56,952",-0.10,116,75%,69%,"$45,000","$60,000","$42,175","$61,570",-0.07
"Orlando-Kissimmee-Sanford, FL",36740,34,86%,77%,"$37,288","$43,164","$38,481","$49,872",-0.09,58,95%,83%,"$28,600","$30,245","$30,785","$36,942",-0.11,45,86%,75%,"$40,484","$46,932","$41,560","$55,413",-0.11,39,80%,66%,"$41,975","$52,147","$38,481","$58,491",-0.15
"Oshkosh-Neenah, WI",36780,218,75%,no data,"$39,000","$52,147",no data,no data,no data,224,80%,no data,"$30,000","$37,288",no data,no data,no data,185,77%,0%,"$41,717","$54,000",no data,no data,no data,196,70%,0%,"$41,549","$59,660",no data,no data,no data
"Owensboro, KY",36980,222,74%,63%,"$37,769","$50,804","$32,016","$50,795",-0.11,217,81%,74%,"$25,453","$31,294","$27,553","$37,096",-0.07,215,75%,64%,"$38,353","$51,138","$33,863","$53,104",-0.11,225,67%,54%,"$40,484","$60,000","$32,940","$61,570",-0.14
"Oxnard-Thousand Oaks-Ventura, CA",37100,22,89%,74%,"$50,000","$56,464","$49,256","$66,342",-0.14,19,100%,92%,"$31,288","$31,288","$33,863","$36,942",-0.08,25,88%,74%,"$52,147","$59,051","$53,874","$72,345",-0.14,158,73%,63%,"$58,595","$80,000","$55,413","$87,737",-0.10
"Palm Bay-Melbourne-Titusville, FL",37340,184,78%,69%,"$39,500","$50,906","$38,481","$55,413",-0.08,116,90%,82%,"$26,978","$29,830","$27,706","$33,863",-0.09,128,81%,70%,"$41,006","$50,906","$40,790","$58,491",-0.11,210,69%,60%,"$44,429","$64,662","$39,405","$66,188",-0.09
"Pensacola-Ferry Pass-Brent, FL",37860,220,75%,71%,"$35,251","$47,157","$33,863","$47,409",-0.03,120,90%,77%,"$28,800","$32,000","$26,167","$33,863",-0.13,238,71%,73%,"$36,000","$50,906","$36,942","$50,795",0.02,206,69%,62%,"$38,848","$56,319","$38,327","$61,570",-0.07
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",37980,100,82%,74%,"$50,610","$61,533","$47,717","$64,648",-0.08,50,95%,89%,"$35,634","$37,546","$38,481","$43,253",-0.06,91,83%,74%,"$54,233","$65,000","$50,949","$69,266",-0.10,147,74%,65%,"$54,978","$74,576","$49,256","$76,193",-0.09
"Phoenix-Mesa-Scottsdale, AZ",38060,74,83%,80%,"$41,717","$50,000","$43,099","$53,874",-0.03,43,97%,92%,"$30,896","$31,961","$35,403","$38,327",-0.04,92,83%,75%,"$45,000","$53,955","$46,177","$61,570",-0.08,60,78%,71%,"$47,941","$61,087","$46,177","$64,648",-0.07
"Pittsburgh, PA",38300,200,76%,68%,"$43,679","$57,361","$39,097","$57,568",-0.08,197,83%,82%,"$32,373","$39,000","$31,555","$38,481",-0.01,193,77%,69%,"$48,560","$63,123","$42,329","$61,416",-0.08,176,72%,61%,"$45,815","$63,667","$40,020","$65,880",-0.11
"Pittsfield, MA",38340,78,83%,74%,"$45,000","$53,955","$40,020","$53,874",-0.09,171,86%,84%,"$30,245","$35,000","$32,324","$38,481",-0.02,36,87%,74%,"$46,932","$54,233","$41,560","$56,029",-0.12,33,81%,67%,"$50,906","$62,576","$43,099","$64,648",-0.15
"Portland-South Portland, ME",38860,76,83%,76%,"$45,322","$54,334","$40,944","$53,874",-0.07,219,81%,92%,"$30,000","$37,000","$33,863","$36,788",0.11,43,86%,77%,"$49,207","$57,015","$43,869","$56,952",-0.09,48,80%,71%,"$50,906","$63,922","$42,483","$59,877",-0.09
"Portland-Vancouver-Hillsboro, OR-WA",38900,127,81%,75%,"$48,000","$59,351","$46,177","$61,570",-0.06,125,90%,89%,"$33,452","$37,288","$36,018","$40,636",-0.01,108,82%,74%,"$52,445","$63,922","$48,025","$64,648",-0.08,110,75%,71%,"$52,942","$70,314","$49,256","$69,266",-0.04
"Port St. Lucie, FL",38940,67,84%,80%,"$36,150","$43,164","$36,942","$46,177",-0.04,52,95%,95%,"$26,073","$27,489","$29,246","$30,785",0,102,82%,78%,"$37,769","$45,815","$38,481","$49,256",-0.04,78,77%,71%,"$41,717","$54,000","$38,481","$53,874",-0.06
"Prescott, AZ",39140,28,87%,73%,"$37,500","$43,164","$33,863","$46,177",-0.14,213,82%,85%,"$24,397","$29,830","$26,167","$30,785",0.03,150,80%,73%,"$39,000","$48,870","$35,403","$48,332",-0.07,12,85%,67%,"$42,615","$50,061","$36,172","$53,874",-0.18
"Providence-Warwick, RI-MA",39300,75,83%,72%,"$47,852","$57,361","$41,868","$57,876",-0.11,159,88%,88%,"$33,129","$37,769","$33,863","$38,481",0,61,85%,75%,"$50,906","$60,000","$46,024","$61,570",-0.10,67,78%,67%,"$52,147","$66,905","$43,253","$64,648",-0.11
"Provo-Orem, UT",39340,249,62%,58%,"$35,690","$57,193","$32,324","$55,413",-0.04,209,82%,72%,"$26,634","$32,373","$27,706","$38,481",-0.1,250,60%,56%,"$41,717","$70,000","$38,635","$69,266",-0.04,249,55%,52%,"$41,743","$76,000","$38,481","$73,884",-0.03
"Pueblo, CO",39380,57,84%,79%,"$38,688","$45,811","$36,326","$46,177",-0.06,188,85%,78%,"$26,000","$30,544","$27,706","$35,403",-0.07,148,80%,78%,"$39,927","$50,000","$36,942","$47,255",-0.02,70,78%,64%,"$43,000","$55,399","$39,713","$61,724",-0.13
"Racine, WI",39540,211,75%,66%,"$40,725","$53,955","$41,560","$63,109",-0.10,104,91%,74%,"$28,552","$31,294","$31,862","$43,099",-0.17,187,77%,67%,"$45,815","$59,351","$44,638","$66,188",-0.10,223,68%,60%,"$43,254","$63,619","$43,099","$72,345",-0.08
"Raleigh, NC",39580,162,79%,75%,"$46,932","$59,447","$46,177","$61,570",-0.04,64,94%,94%,"$33,598","$35,634","$38,481","$40,790",0,170,79%,71%,"$50,906","$64,746","$49,256","$69,266",-0.08,152,74%,60%,"$52,147","$70,920","$46,177","$76,962",-0.14
"Reading, PA",39740,157,79%,68%,"$41,300","$52,147","$38,481","$56,952",-0.12,233,79%,75%,"$30,000","$37,769","$31,093","$41,560",-0.05,80,84%,68%,"$45,322","$53,955","$41,560","$61,570",-0.16,138,74%,62%,"$44,533","$60,000","$38,481","$62,032",-0.12
"Redding, CA",39820,205,76%,71%,"$38,848","$51,138","$38,481","$53,874",-0.05,142,89%,87%,"$26,634","$30,000","$26,783","$30,785",-0.02,152,80%,70%,"$43,000","$53,955","$39,713","$56,336",-0.09,64,78%,60%,"$46,932","$60,069","$41,252","$69,266",-0.19
"Reno, NV",39900,62,84%,80%,"$40,725","$48,560","$43,099","$53,874",-0.04,61,94%,91%,"$30,544","$32,373","$33,710","$36,942",-0.03,65,85%,81%,"$45,000","$53,190","$46,177","$56,952",-0.04,42,80%,75%,"$45,811","$57,000","$46,177","$61,724",-0.06
"Richmond, VA",40060,79,83%,74%,"$45,000","$53,955","$43,099","$58,491",-0.10,20,100%,87%,"$32,373","$32,373","$36,172","$41,560",-0.13,86,84%,75%,"$48,560","$58,000","$46,177","$61,570",-0.09,124,75%,67%,"$50,000","$66,905","$46,177","$69,266",-0.08
"Riverside-San Bernardino-Ontario, CA",40140,103,82%,76%,"$40,570","$49,423","$43,099","$56,952",-0.06,84,93%,91%,"$27,951","$30,000","$30,785","$33,863",-0.02,122,81%,75%,"$43,164","$53,268","$46,177","$61,570",-0.06,51,79%,69%,"$48,560","$61,087","$47,717","$69,266",-0.11
"Roanoke, VA",40220,73,83%,no data,"$40,000","$47,941",no data,no data,no data,45,96%,no data,"$30,000","$31,288",no data,no data,no data,53,85%,0%,"$42,615","$49,855",no data,no data,no data,32,81%,0%,"$43,893","$53,955",no data,no data,no data
"Rochester, NY",40380,122,81%,70%,"$43,803","$53,955","$43,253","$61,570",-0.11,109,91%,85%,"$32,373","$35,634","$32,786","$38,481",-0.06,59,85%,75%,"$47,941","$56,464","$46,177","$61,878",-0.10,131,74%,64%,"$47,000","$63,123","$46,177","$72,345",-0.11
"Rockford, IL",40420,226,74%,64%,"$38,353","$51,924","$39,097","$61,570",-0.10,204,83%,76%,"$26,978","$32,580","$31,555","$41,560",-0.07,192,77%,67%,"$40,164","$52,147","$43,099","$64,648",-0.10,200,69%,54%,"$43,803","$63,123","$40,020","$73,884",-0.15
"Rocky Mount, NC",40580,125,81%,77%,"$34,518","$42,615","$35,403","$46,177",-0.04,111,91%,88%,"$24,469","$26,978","$29,861","$33,863",-0.03,32,87%,77%,"$37,500","$43,041","$36,942","$47,717",-0.10,144,74%,70%,"$37,546","$50,718","$35,557","$50,795",-0.04
"Sacramento--Roseville--Arden-Arcade, CA",40900,29,87%,79%,"$50,906","$58,595","$48,794","$61,570",-0.08,16,101%,96%,"$33,598","$33,374","$36,942","$38,481",-0.05,27,88%,79%,"$55,000","$62,576","$52,334","$66,188",-0.09,31,81%,70%,"$59,660","$73,304","$53,874","$76,962",-0.11
"Saginaw, MI",40980,234,72%,62%,"$35,000","$48,870","$38,327","$61,570",-0.09,242,77%,88%,"$24,503","$31,961","$30,785","$35,095",0.11,236,72%,66%,"$35,817","$50,000","$41,560","$63,109",-0.06,197,70%,50%,"$40,000","$57,530","$39,713","$80,041",-0.20
"St. George, UT",41100,166,79%,no data,"$36,009","$45,815",no data,no data,no data,24,99%,no data,"$29,136","$29,307",no data,no data,no data,175,78%,0%,"$40,000","$51,104",no data,no data,no data,247,57%,0%,"$36,690","$64,746",no data,no data,no data
"St. Joseph, MO-KS",41140,106,82%,no data,"$36,862","$45,000",no data,no data,no data,207,83%,no data,"$28,057","$34,005",no data,no data,no data,204,76%,0%,"$37,000","$48,560",no data,no data,no data,56,79%,0%,"$40,153","$50,906",no data,no data,no data
"St. Louis, MO-IL",41180,183,78%,69%,"$42,761","$55,000","$42,637","$61,570",-0.08,164,87%,81%,"$30,544","$35,000","$33,863","$41,560",-0.06,180,78%,73%,"$46,324","$59,660","$46,177","$63,571",-0.05,146,74%,59%,"$47,975","$65,000","$43,099","$73,422",-0.15
"Salinas, CA",41500,10,91%,81%,"$41,717","$45,815","$46,177","$56,952",-0.10,89,93%,95%,"$26,978","$29,000","$32,324","$33,863",0.02,63,85%,80%,"$43,164","$50,906","$49,256","$61,570",-0.05,4,88%,69%,"$51,777","$58,595","$49,872","$72,345",-0.19
"Salisbury, MD-DE",41540,48,85%,77%,"$40,725","$47,941","$35,403","$46,177",-0.08,158,88%,95%,"$28,368","$32,331","$30,785","$32,324",0.07,22,89%,78%,"$43,164","$48,560","$38,481","$49,256",-0.11,35,81%,62%,"$45,322","$55,996","$36,480","$58,491",-0.19
"Salt Lake City, UT",41620,197,77%,72%,"$40,000","$52,147","$40,020","$55,413",-0.04,95,93%,80%,"$30,871","$33,374","$30,785","$38,481",-0.13,218,75%,73%,"$42,760","$57,361","$44,638","$61,570",-0.02,143,74%,64%,"$47,941","$64,746","$44,022","$69,112",-0.10
"San Angelo, TX",41660,185,77%,75%,"$33,026","$42,615","$32,016","$42,945",-0.03,10,102%,75%,"$27,500","$27,000","$23,704","$31,401",-0.26,234,72%,81%,"$36,000","$49,855","$37,404","$46,177",0.09,235,65%,67%,"$33,598","$52,000","$30,785","$46,177",0.02
"San Antonio-New Braunfels, TX",41700,31,87%,80%,"$38,353","$44,243","$36,942","$46,177",-0.07,88,93%,95%,"$27,116","$29,136","$29,246","$30,785",0.02,52,86%,79%,"$41,743","$48,809","$40,020","$50,795",-0.07,52,79%,68%,"$42,761","$53,955","$38,481","$56,952",-0.12
"San Diego-Carlsbad, CA",41740,14,90%,84%,"$48,581","$53,955","$46,177","$55,105",-0.06,6,105%,110%,"$32,373","$30,755","$33,863","$30,785",0.05,46,86%,80%,"$53,955","$62,588","$49,256","$61,570",-0.06,87,77%,69%,"$55,399","$72,000","$50,949","$73,884",-0.08
"San Francisco-Oakland-Hayward, CA",41860,94,83%,78%,"$67,118","$81,349","$60,031","$76,962",-0.05,33,98%,96%,"$50,000","$50,906","$46,177","$48,025",-0.02,111,82%,78%,"$75,091","$91,631","$62,340","$80,041",-0.04,43,80%,73%,"$70,142","$87,360","$61,570","$84,659",-0.08
"San Jose-Sunnyvale-Santa Clara, CA",41940,231,73%,73%,"$68,183","$93,864","$61,570","$84,659",0.00,146,88%,91%,"$47,941","$54,233","$49,256","$53,874",0.03,214,75%,74%,"$78,220","$104,294","$69,266","$93,894",-0.01,222,68%,70%,"$69,249","$101,812","$64,648","$92,355",0.02
"San Luis Obispo-Paso Robles-Arroyo Grande, CA",42020,149,80%,68%,"$44,846","$56,113","$41,560","$61,570",-0.12,21,100%,71%,"$31,961","$31,961","$26,167","$36,942",-0.29,208,76%,69%,"$48,870","$64,662","$46,177","$66,496",-0.06,183,71%,63%,"$53,955","$75,537","$48,640","$76,962",-0.08
"Santa Cruz-Watsonville, CA",42100,43,85%,73%,"$52,147","$61,087","$50,795","$69,266",-0.12,94,93%,85%,"$31,961","$34,531","$32,786","$38,481",-0.07,47,86%,72%,"$55,000","$63,922","$55,413","$76,962",-0.14,11,85%,71%,"$68,214","$80,000","$60,031","$84,659",-0.14
"Santa Fe, NM",42140,13,90%,74%,"$41,717","$46,300","$43,407","$58,491",-0.16,152,88%,73%,"$26,000","$29,525","$24,628","$33,863",-0.15,44,86%,75%,"$41,900","$48,560","$46,177","$61,570",-0.11,8,87%,58%,"$52,147","$60,000","$46,177","$80,041",-0.29
"Santa Maria-Santa Barbara, CA",42200,15,90%,80%,"$43,164","$47,941","$46,177","$57,722",-0.10,13,101%,100%,"$32,373","$31,961","$32,324","$32,324",-0.01,26,88%,80%,"$44,745","$50,906","$49,256","$61,570",-0.08,9,87%,64%,"$54,233","$62,576","$49,256","$76,962",-0.23
"Santa Rosa, CA",42220,4,93%,77%,"$52,147","$56,113","$49,256","$63,571",-0.15,160,88%,90%,"$32,000","$36,503","$34,787","$38,481",0.03,6,94%,78%,"$55,000","$58,595","$53,874","$69,266",-0.16,17,84%,70%,"$61,087","$72,445","$53,874","$76,962",-0.14
"Scranton--Wilkes-Barre--Hazleton, PA",42540,138,80%,70%,"$39,000","$48,560","$35,403","$50,333",-0.10,169,87%,81%,"$29,202","$33,598","$28,784","$35,403",-0.06,110,82%,72%,"$42,761","$52,147","$38,481","$53,104",-0.10,142,74%,65%,"$40,725","$55,000","$36,172","$55,413",-0.09
"Seattle-Tacoma-Bellevue, WA",42660,191,77%,76%,"$54,000","$70,142","$49,256","$64,802",-0.01,110,91%,89%,"$39,172","$43,164","$38,481","$43,099",-0.01,195,77%,77%,"$60,430","$78,775","$53,874","$70,344",0.00,167,73%,68%,"$59,351","$81,449","$52,642","$76,962",-0.04
"Shreveport-Bossier City, LA",43340,167,79%,74%,"$36,000","$45,815","$35,403","$48,025",-0.05,132,89%,87%,"$25,467","$28,507","$27,706","$32,016",-0.03,223,74%,72%,"$37,000","$50,000","$36,942","$51,565",-0.02,105,75%,64%,"$40,725","$53,955","$38,481","$60,339",-0.12
"Spartanburg, SC",43900,182,78%,76%,"$35,000","$45,000","$37,558","$49,256",-0.02,148,88%,80%,"$26,978","$30,544","$30,785","$38,481",-0.08,188,77%,74%,"$37,288","$48,361","$38,481","$52,334",-0.04,208,69%,66%,"$38,589","$55,996","$38,481","$58,491",-0.03
"Spokane-Spokane Valley, WA",44060,104,82%,74%,"$41,006","$50,000","$38,481","$52,334",-0.08,190,85%,88%,"$27,116","$32,000","$29,707","$33,863",0.03,48,86%,75%,"$44,745","$52,147","$41,560","$55,413",-0.11,91,77%,67%,"$46,343","$60,430","$41,560","$61,955",-0.10
"Springfield, IL",44100,60,84%,77%,"$44,745","$53,268","$42,637","$55,413",-0.07,73,94%,86%,"$30,000","$31,961","$29,246","$33,863",-0.08,64,85%,79%,"$46,932","$55,399","$46,024","$58,491",-0.06,82,77%,69%,"$51,031","$66,178","$46,177","$66,649",-0.08
"Springfield, MA",44140,23,87%,76%,"$47,852","$55,000","$43,715","$57,722",-0.11,107,91%,88%,"$31,562","$34,718","$33,863","$38,481",-0.03,31,87%,75%,"$50,000","$57,361","$46,177","$61,570",-0.12,29,82%,72%,"$53,955","$66,000","$46,177","$64,187",-0.10
"Springfield, MO",44180,97,82%,73%,"$35,610","$43,164","$33,863","$46,177",-0.09,166,87%,86%,"$26,634","$30,544","$27,706","$32,324",-0.01,118,81%,71%,"$37,769","$46,500","$35,403","$50,026",-0.10,63,78%,66%,"$39,632","$50,718","$35,403","$53,874",-0.12
"Springfield, OH",44220,225,74%,68%,"$35,610","$48,000","$38,481","$56,952",-0.07,180,85%,92%,"$26,471","$31,000","$32,016","$34,787",0.07,216,75%,63%,"$36,690","$49,018","$38,635","$61,570",-0.12,174,72%,54%,"$39,632","$55,000","$40,020","$73,884",-0.18
"State College, PA",44300,105,82%,76%,"$42,625","$52,000","$38,789","$50,795",-0.06,75,94%,91%,"$31,294","$33,374","$30,785","$33,863",-0.03,17,89%,75%,"$50,061","$55,996","$41,560","$55,105",-0.14,201,69%,66%,"$45,815","$66,178","$44,484","$67,265",-0.03
"Stockton-Lodi, CA",44700,44,85%,74%,"$41,717","$48,870","$43,099","$58,491",-0.12,76,94%,83%,"$30,544","$32,580","$30,785","$36,942",-0.1,79,84%,75%,"$42,761","$50,906","$46,177","$61,570",-0.09,77,77%,67%,"$50,061","$64,746","$46,177","$69,266",-0.11
"Syracuse, NY",45060,85,83%,70%,"$44,745","$53,955","$40,020","$57,106",-0.13,114,91%,88%,"$31,288","$34,531","$32,324","$36,942",-0.03,105,82%,72%,"$46,402","$56,319","$43,099","$60,031",-0.11,65,78%,63%,"$48,870","$62,576","$41,406","$66,188",-0.16
"Tampa-St. Petersburg-Clearwater, FL",45300,32,87%,81%,"$40,725","$47,000","$40,020","$49,256",-0.05,34,98%,88%,"$30,000","$30,544","$32,324","$36,942",-0.11,41,86%,80%,"$43,164","$50,000","$43,099","$53,874",-0.06,59,79%,71%,"$44,243","$56,319","$39,559","$55,413",-0.07
"Toledo, OH",45780,198,77%,67%,"$40,000","$52,147","$40,020","$60,031",-0.10,173,86%,74%,"$28,500","$33,026","$30,785","$41,560",-0.12,179,78%,70%,"$42,761","$55,000","$43,099","$61,570",-0.08,186,71%,58%,"$43,680","$61,509","$43,099","$73,884",-0.13
"Topeka, KS",45820,126,81%,no data,"$38,848","$48,000",no data,no data,no data,211,82%,no data,"$27,400","$33,452",no data,no data,no data,172,78%,0%,"$40,725","$52,000",no data,no data,no data,49,80%,0%,"$43,779","$55,034",no data,no data,no data
"Trenton, NJ",45940,81,83%,74%,"$55,000","$66,000","$53,874","$72,345",-0.09,40,97%,94%,"$34,000","$35,000","$39,251","$41,560",-0.03,103,82%,76%,"$59,351","$72,000","$58,337","$76,962",-0.07,88,77%,62%,"$61,509","$80,000","$55,567","$89,276",-0.15
"Tucson, AZ",46060,120,81%,78%,"$37,769","$46,402","$38,481","$49,256",-0.03,68,94%,82%,"$28,765","$30,544","$27,706","$33,863",-0.12,191,77%,74%,"$40,000","$51,924","$40,020","$53,874",-0.03,123,75%,68%,"$42,761","$57,193","$41,560","$61,570",-0.07
"Tuscaloosa, AL",46220,188,77%,no data,"$36,294","$46,932",no data,no data,no data,241,77%,no data,"$24,000","$31,288",no data,no data,no data,158,79%,0%,"$39,632","$50,000",no data,no data,no data,161,73%,0%,"$43,803","$60,000",no data,no data,no data
"Tyler, TX",46340,213,75%,70%,"$35,287","$46,932","$34,633","$49,256",-0.05,135,89%,82%,"$27,489","$30,862","$27,706","$33,863",-0.07,206,76%,68%,"$37,288","$49,018","$36,788","$53,874",-0.08,233,65%,61%,"$37,546","$57,361","$38,481","$62,955",-0.04
"Urban Honolulu, HI",46520,33,86%,86%,"$45,815","$53,000","$46,177","$53,874",-0.01,22,100%,96%,"$32,580","$32,580","$32,478","$33,863",-0.04,109,82%,79%,"$49,220","$60,000","$47,717","$60,031",-0.03,81,77%,64%,"$50,000","$64,746","$46,639","$72,345",-0.13
"Utica-Rome, NY",46540,99,82%,75%,"$40,484","$49,207","$36,942","$49,256",-0.07,199,83%,79%,"$30,245","$36,500","$27,860","$35,403",-0.04,87,84%,76%,"$42,615","$50,906","$40,020","$52,334",-0.07,66,78%,69%,"$43,164","$55,276","$38,481","$55,567",-0.09
"Vallejo-Fairfield, CA",46700,68,84%,78%,"$51,138","$61,087","$49,256","$63,109",-0.06,175,86%,96%,"$32,049","$37,288","$36,942","$38,481",0.1,107,82%,80%,"$53,162","$64,746","$53,874","$67,727",-0.03,5,88%,68%,"$62,576","$71,268","$52,334","$76,962",-0.20
"Virginia Beach-Norfolk-Newport News, VA-NC",47260,153,80%,76%,"$40,725","$51,138","$37,712","$49,410",-0.03,100,92%,89%,"$28,681","$31,288","$28,630","$32,324",-0.03,124,81%,72%,"$44,745","$55,276","$40,020","$55,413",-0.09,230,66%,63%,"$45,815","$69,063","$41,560","$66,188",-0.04
"Visalia-Porterville, CA",47300,20,89%,80%,"$36,503","$41,006","$36,942","$46,177",-0.09,108,91%,90%,"$27,116","$29,830","$27,706","$30,785",-0.01,50,86%,79%,"$37,546","$43,803","$38,481","$48,794",-0.07,7,87%,74%,"$43,164","$49,639","$44,638","$60,031",-0.13
"Waco, TX",47380,116,81%,73%,"$35,000","$42,969","$33,863","$46,177",-0.08,29,99%,85%,"$26,634","$26,978","$26,167","$30,785",-0.14,141,80%,71%,"$37,546","$46,876","$36,942","$52,334",-0.10,113,75%,61%,"$39,964","$53,268","$35,403","$58,184",-0.14
"Washington-Arlington-Alexandria, DC-VA-MD-WV",47900,55,85%,79%,"$63,667","$75,341","$56,952","$72,345",-0.06,9,102%,94%,"$43,500","$42,615","$43,407","$46,177",-0.08,30,88%,80%,"$70,000","$80,000","$61,570","$76,962",-0.08,126,75%,66%,"$73,000","$97,739","$63,417","$95,433",-0.08
"Wausau, WI",48140,151,80%,72%,"$38,688","$48,560","$38,481","$53,258",-0.07,184,85%,78%,"$29,830","$35,000","$32,324","$41,560",-0.07,139,80%,73%,"$42,761","$53,268","$39,251","$53,874",-0.07,112,75%,63%,"$40,000","$53,268","$38,481","$61,570",-0.13
"Wenatchee, WA",48300,93,83%,no data,"$36,222","$43,803",no data,no data,no data,1,120%,no data,"$30,363","$25,251",no data,no data,no data,95,83%,0%,"$38,200","$45,889",no data,no data,no data,140,74%,0%,"$40,000","$53,955",no data,no data,no data
"Wichita, KS",48620,199,76%,71%,"$39,006","$51,000","$39,559","$55,721",-0.05,151,88%,82%,"$28,159","$31,961","$32,324","$39,405",-0.06,173,78%,70%,"$41,717","$53,268","$43,099","$61,570",-0.08,191,70%,63%,"$42,965","$61,087","$41,560","$66,188",-0.08
"Wichita Falls, TX",48660,131,81%,79%,"$33,598","$41,717","$33,863","$43,099",-0.02,86,93%,82%,"$24,280","$26,073","$23,550","$28,630",-0.11,57,85%,80%,"$37,670","$44,243","$36,942","$46,177",-0.05,189,71%,67%,"$36,222","$51,138","$35,249","$52,334",-0.03
"Wilmington, NC",48900,45,85%,no data,"$40,049","$46,932",no data,no data,no data,26,99%,no data,"$30,544","$30,896",no data,no data,no data,28,88%,0%,"$43,803","$49,859",no data,no data,no data,72,78%,0%,"$42,615","$54,978",no data,no data,no data
"Winston-Salem, NC",49180,39,86%,78%,"$38,500","$45,000","$38,481","$49,256",-0.07,14,101%,88%,"$31,288","$31,002","$32,324","$36,942",-0.13,24,88%,77%,"$40,484","$45,815","$41,560","$53,874",-0.11,69,78%,65%,"$42,000","$53,955","$40,020","$61,570",-0.13
"Worcester, MA-CT",49340,121,81%,75%,"$50,906","$62,576","$46,177","$61,570",-0.06,90,93%,84%,"$35,610","$38,353","$37,250","$44,176",-0.09,115,82%,73%,"$54,000","$66,178","$49,102","$67,727",-0.09,118,75%,67%,"$55,000","$73,379","$46,177","$69,266",-0.08
"Yakima, WA",49420,171,78%,82%,"$32,580","$41,549","$38,404","$47,101",0.03,198,83%,80%,"$26,500","$31,961","$27,091","$33,863",-0.03,174,78%,76%,"$33,374","$42,615","$40,020","$52,334",-0.02,34,81%,73%,"$41,222","$50,906","$41,098","$56,029",-0.08
"York-Hanover, PA",49620,208,76%,68%,"$41,000","$54,233","$38,481","$56,183",-0.07,167,87%,74%,"$30,000","$34,417","$30,785","$41,560",-0.13,225,74%,67%,"$43,164","$58,595","$40,020","$60,031",-0.07,181,72%,63%,"$43,680","$61,087","$38,481","$61,570",-0.09
"Youngstown-Warren-Boardman, OH-PA",49660,174,78%,64%,"$36,690","$46,932","$35,711","$55,413",-0.14,206,83%,70%,"$25,899","$31,288","$26,937","$38,481",-0.13,133,80%,68%,"$39,419","$49,018","$38,481","$56,952",-0.13,141,74%,54%,"$40,000","$53,955","$37,712","$69,266",-0.20
"Yuba City, CA",49700,26,87%,80%,"$40,000","$46,000","$36,942","$46,177",-0.07,7,105%,85%,"$32,373","$30,896","$26,167","$30,785",-0.2,168,79%,79%,"$41,006","$52,147","$40,020","$50,795",0.00,28,82%,62%,"$48,000","$58,595","$43,099","$69,266",-0.20
"Yuma, AZ",49740,30,87%,91%,"$32,373","$37,288","$35,403","$39,097",0.04,67,94%,100%,"$27,116","$28,765","$27,706","$27,706",0.06,81,84%,83%,"$36,347","$43,282","$38,481","$46,177",-0.01,54,79%,76%,"$35,100","$44,400","$40,020","$52,334",-0.03
U.S total,U.S. total,no data,82%,75%,"$42,615","$52,147","$41,560","$55,413",-0.07,no data,93%,88%,"$31,288","$33,598","$33,863","$38,481",-0.05,no data,82%,73%,"$45,815","$56,000","$44,792","$61,570",-0.09,no data,76%,67%,"$47,409","$62,576","$44,484","$66,188",-0.09
