,,Ages 16+,,,,,,,,Ages 16-29,,,,,,,,Ages 30-49,,,,,,,,Ages 50+,,,,,,,
MSA,FIPS,16+_2019_metro_rank,16+_2019_metro_perc,16+_2000_metro_perc,16+_2019_dollars_women,16+_2019_dollars_men,16+_2000_dollars_women,16+_2000_dollars_men,16+_map_change,16_29_2019_metro_rank,16_29_2019_metro_perc,16_29_2000_metro_perc,16_29_2019_dollars_women,16_29_2019_dollars_men,16_29_2000_dollars_women,16_29_2000_dollars_men,16_29_map_change,30_49_2019_metro_rank,30_49_2019_metro_perc,30_49_2000_metro_perc,30_49_2019_dollars_women,30_49_2019_dollars_men,30_49_2000_dollars_women,30_49_2000_dollars_men,30_49_map_change,50+_2019_metro_rank,50+_2019_metro_perc,50+_2000_metro_perc,50+_2019_dollars_women,50+_2019_dollars_men,50+_2000_dollars_women,50+_2000_dollars_men,50+_map_change
"Bismarck, ND",13900,229,73%,no data,"$43,680","$59,447",no data,no data,no data,237,78%,no data,"$35,634","$45,815",no data,no data,no data,198,77%,0%,"$47,941","$62,576",no data,no data,no data,202,69%,0%,"$44,000","$63,619",no data,no data,no data
"Blacksburg-Christiansburg-Radford, VA",13980,124,81%,71%,"$41,006","$50,582","$35,403","$50,179",-0.11,155,88%,78%,"$31,288","$35,634","$27,706","$35,403",-0.1,58,85%,69%,"$41,717","$49,018","$36,942","$53,720",-0.16,168,73%,67%,"$45,811","$63,000","$39,405","$58,491",-0.05
"Bloomington, IL",14010,158,79%,70%,"$47,000","$59,351","$43,099","$61,570",-0.09,238,77%,81%,"$29,136","$37,769","$33,863","$41,560",0.04,132,80%,72%,"$52,074","$64,746","$48,794","$67,727",-0.08,145,74%,50%,"$53,955","$73,006","$38,635","$76,962",-0.24
"Bloomington, IN",14020,163,79%,no data,"$39,096","$49,639",no data,no data,no data,201,83%,no data,"$25,569","$30,871",no data,no data,no data,12,91%,0%,"$47,500","$52,203",no data,no data,no data,162,73%,0%,"$43,316","$59,351",no data,no data,no data
"Boise City, ID",14260,140,80%,73%,"$38,353","$47,941","$38,481","$52,642",-0.07,149,88%,83%,"$27,625","$31,288","$30,169","$36,172",-0.05,205,76%,73%,"$40,570","$53,268","$41,560","$56,952",-0.03,45,80%,59%,"$43,200","$53,955","$40,020","$67,727",-0.21
"Boston-Cambridge-Newton, MA-NH",14460,88,83%,76%,"$59,660","$72,000","$52,334","$69,266",-0.07,59,95%,93%,"$42,625","$45,103","$43,099","$46,331",-0.01,77,84%,75%,"$65,705","$78,220","$56,490","$74,961",-0.09,97,76%,68%,"$64,746","$85,229","$53,412","$78,502",-0.08
"Bremerton-Silverdale, WA",14740,194,77%,72%,"$44,220","$57,530","$43,099","$60,031",-0.05,30,99%,82%,"$30,245","$30,700","$30,785","$37,712",-0.17,237,71%,74%,"$47,696","$67,000","$46,177","$62,186",0.03,209,69%,63%,"$55,000","$79,902","$48,794","$76,962",-0.05
"Bridgeport-Stamford-Norwalk, CT",14860,165,79%,75%,"$61,087","$77,696","$57,568","$76,962",-0.04,38,98%,97%,"$40,725","$41,717","$44,638","$46,177",-0.01,178,78%,73%,"$65,000","$83,435","$61,570","$84,659",-0.05,187,71%,62%,"$67,984","$95,883","$58,491","$93,894",-0.09
"Brownsville-Harlingen, TX",15180,98,82%,78%,"$28,057","$34,092","$27,706","$35,403",-0.04,129,90%,88%,"$21,380","$23,883","$23,089","$26,167",-0.01,127,81%,76%,"$31,200","$38,688","$29,246","$38,481",-0.05,153,74%,65%,"$29,136","$39,632","$27,706","$42,329",-0.08
"Buffalo-Cheektowaga-Niagara Falls, NY",15380,130,81%,68%,"$43,596","$53,955","$39,867","$58,491",-0.13,122,90%,80%,"$32,373","$36,000","$30,785","$38,481",-0.1,99,83%,69%,"$47,089","$57,015","$42,483","$61,570",-0.14,99,76%,58%,"$47,481","$62,576","$41,406","$70,805",-0.17
"Burlington, NC",15500,91,83%,72%,"$37,121","$44,846","$35,403","$49,256",-0.11,153,88%,87%,"$25,675","$29,202","$30,785","$35,403",-0.01,131,80%,69%,"$37,670","$46,833","$38,481","$55,413",-0.11,74,77%,60%,"$41,006","$52,942","$33,094","$55,413",-0.18
"Burlington-South Burlington, VT",15540,24,87%,73%,"$46,932","$53,955","$41,560","$56,644",-0.14,210,82%,83%,"$30,544","$37,288","$30,785","$36,942",0.01,13,91%,76%,"$50,906","$55,996","$44,638","$58,491",-0.15,21,83%,59%,"$53,847","$64,746","$41,560","$70,344",-0.24
"Canton-Massillon, OH",15940,221,75%,66%,"$37,288","$50,000","$35,403","$53,874",-0.09,174,86%,81%,"$28,000","$32,540","$29,861","$36,942",-0.05,154,80%,66%,"$40,725","$51,138","$38,481","$58,491",-0.14,193,70%,59%,"$39,096","$56,000","$36,942","$63,109",-0.11
