,OCC1950_NEW,NEW_IND50,YEAR,MIDWEST,NORTHEAST,SOUTH,WEST,EDUC1,EDUC2,EDUC3,EDUC4,EDUC5,educ_hs,FEMALE_COUNT,COUNT,FEM_RATIO,OCC_GENDER,LOG_MEDIAN_WAGE
326,"Attendants, hospital and other institution",8,1970,0.3667296786389414,0.2375551354757404,0.23251417769376181,0.1632010081915564,0.10522999369880277,0.07750472589792061,0.028985507246376812,0.023944549464398234,0.005671077504725898,0.7586641461877757,1285,1587,0.8097038437303088,female,2.198694085315579
327,"Attendants, hospital and other institution",8,1980,0.31087391594396263,0.24699799866577718,0.2843562374916611,0.15777184789859908,0.12758505670446965,0.11124082721814543,0.037191460973982654,0.03852568378919279,0.02685123415610407,0.6586057371581054,5152,5996,0.8592394929953302,female,2.1978493821050615
328,"Attendants, hospital and other institution",8,1990,0.2844249613202682,0.2584665635207151,0.3017019082001031,0.15540656695891353,0.2972322503008424,0.08096957194430118,,0.051830840639504897,0.02870895650679044,0.5412583806085611,10141,11634,0.8716692453154548,female,2.1591379045282304
329,"Attendants, hospital and other institution",9,1950,0.5,,,0.5,0.5,0.5,,,,,2,2,1.0,female,1.756915433973262
330,"Attendants, hospital and other institution",9,1960,0.13333333333333333,0.06666666666666667,0.6666666666666666,0.13333333333333333,0.06666666666666667,,,0.06666666666666667,0.06666666666666667,0.8,7,15,0.4666666666666667,mixed,1.7275368023427107
331,"Attendants, hospital and other institution",9,1970,0.2222222222222222,0.3333333333333333,0.1111111111111111,0.3333333333333333,,0.2222222222222222,,,,0.7777777777777778,8,9,0.8888888888888888,female,2.198694085315579
332,"Attendants, hospital and other institution",9,1980,0.13829787234042554,0.3723404255319149,0.39361702127659576,0.09574468085106383,0.11702127659574468,0.1276595744680851,0.06382978723404255,0.07446808510638298,0.02127659574468085,0.5957446808510638,74,94,0.7872340425531915,female,2.314910641459062
333,"Attendants, hospital and other institution",9,1990,0.22916666666666666,0.203125,0.3645833333333333,0.203125,0.3177083333333333,0.078125,,0.0625,0.026041666666666668,0.515625,151,192,0.7864583333333334,female,2.341589669390557
334,"Attendants, physician's and dentist's office",1,1960,1.0,,,,,1.0,,,,,0,1,0.0,mixed,4.093947658069242
335,"Attendants, physician's and dentist's office",1,1970,,,1.0,,0.5,,,,,0.5,1,2,0.5,mixed,2.172319747770961
336,"Attendants, physician's and dentist's office",1,1980,0.5,0.25,0.25,,0.25,0.25,0.25,,,0.25,3,4,0.75,female,1.8530284249162579
